iter	RMSE
0	21.34144384
1	19.58562231
2	17.94464639
3	16.49711246
4	15.14688349
5	13.88683218
6	12.77578276
7	11.81682824
8	10.91370639
9	10.04898045
10	9.337563361
11	8.664066257
12	8.075250771
13	7.549007571
14	7.077582357
15	6.646857604
16	6.283109574
17	5.9364981
18	5.619985844
19	5.339258271
20	5.079347144
21	4.86630458
22	4.660771841
23	4.462775194
24	4.285353674
25	4.155664384
26	4.028713107
27	3.914742269
28	3.80435269
29	3.686687964
30	3.584764361
31	3.497120704
32	3.418551764
33	3.346793684
34	3.268488214
35	3.214112239
36	3.152583323
37	3.099447611
38	3.050452978
39	2.995941942
40	2.965787702
41	2.92990199
42	2.887446179
43	2.85618401
44	2.821054329
45	2.768664532
46	2.741428687
47	2.706968729
48	2.682756458
49	2.65952664
50	2.630858351
51	2.598126146
52	2.570296423
53	2.552239041
54	2.52853861
55	2.515251455
56	2.501454576
57	2.47644579
58	2.443879241
59	2.422728804
60	2.396599209
61	2.37172507
62	2.341853849
63	2.327928583
64	2.302051233
65	2.289453286
66	2.272712708
67	2.255886462
68	2.243752818
69	2.22192336
70	2.212216762
71	2.203680556
72	2.194610009
73	2.174620766
74	2.164769554
75	2.138817386
76	2.127858208
77	2.106092313
78	2.099338315
79	2.083779222
80	2.067935407
81	2.051548692
82	2.030608109
83	2.019659429
84	2.004660625
85	1.992500502
86	1.977561428
87	1.957180847
88	1.944569984
89	1.926617311
90	1.915765835
91	1.902092258
92	1.890997138
93	1.878710756
94	1.870346238
95	1.852313019
96	1.841051997
97	1.825908813
98	1.815754797
99	1.804897043
