iter	Passed	Remaining
0	17	1750
1	36	1782
2	55	1803
3	75	1808
4	95	1814
5	114	1796
6	134	1785
7	155	1791
8	175	1774
9	194	1750
10	214	1731
11	233	1709
12	252	1690
13	272	1672
14	291	1650
15	310	1629
16	329	1610
17	349	1590
18	369	1574
19	411	1645
20	442	1664
21	470	1668
22	489	1637
23	508	1610
24	528	1585
25	548	1561
26	567	1535
27	586	1508
28	605	1482
29	625	1459
30	645	1436
31	665	1414
32	684	1390
33	703	1365
34	723	1342
35	742	1320
36	762	1297
37	781	1275
38	800	1252
39	819	1229
40	839	1208
41	859	1186
42	878	1163
43	898	1142
44	917	1121
45	938	1101
46	957	1079
47	976	1057
48	995	1036
49	1014	1014
50	1032	992
51	1051	970
52	1069	948
53	1086	925
54	1105	904
55	1123	882
56	1141	861
57	1158	838
58	1176	817
59	1193	795
60	1211	774
61	1228	753
62	1246	732
63	1263	710
64	1280	689
65	1300	669
66	1317	648
67	1334	628
68	1352	607
69	1370	587
70	1388	566
71	1405	546
72	1423	526
73	1440	506
74	1457	485
75	1474	465
76	1493	446
77	1510	426
78	1528	406
79	1545	386
80	1563	366
81	1580	347
82	1598	327
83	1616	307
84	1633	288
85	1649	268
86	1666	248
87	1682	229
88	1698	209
89	1714	190
90	1731	171
91	1748	152
92	1764	132
93	1781	113
94	1798	94
95	1816	75
96	1834	56
97	1851	37
98	1869	18
99	1887	0
